Step,Car_X,Car_Y,Lidar_Range,Lidar_Bearing
1,0,0.1,1.5743233,0.21002291
2,0,0.2,1.5756227,0.22752482
3,0,0.30000000000000004,1.5756227,0.22752482
4,0,0.4,1.5756227,0.22752482
5,0,0.5,1.5576227,0.22752482
6,0,0.6000000000000001,1.556,0.22752482
7,0,0.7000000000000001,1.4960825,0.24502672
8,0,0.8,1.497916,0.24502672
9,0,0.9,1.3643155,0.24502672
10,0,1.0,1.2181674,0.26252863
11,0,1.1,1.2181674,0.26252863
12,0,1.2000000000000002,1.08,0.28003055
13,0,1.3,0.932,0.29753244
14,0,1.4000000000000001,0.932,0.29753244
15,0,1.5,0.7768597,0.31503436
16,0,1.6,0.6185914,0.3675401
17,0,1.7000000000000002,0.6185914,0.3675401
18,0,1.8,0.48603016,0.45504963
19,0,1.9000000000000001,0.485899,0.42004582
20,0,2.0,0.374,0.8925974
21,0,2.1,0.39504904,1.8552023
22,0,2.2,0.460859,2.275248
23,0,2.3000000000000003,0.460859,2.275248
24,0,2.4000000000000004,0.460859,2.275248
25,0,2.5,0.460859,2.275248
26,0,2.6,0.460859,2.275248
27,0,2.7,0.460859,2.275248
28,0,2.8000000000000003,0.460859,2.275248
29,0,2.9000000000000004,0.460859,2.275248
30,0,3.0,0.460859,2.275248
31,0,3.1,0.460859,2.275248
32,0,3.2,0.460859,2.275248
33,0,3.3000000000000003,0.460859,2.275248
34,0,3.4000000000000004,0.460859,2.275248
35,0,3.5,0.460859,2.275248
36,0,3.6,0.460859,2.275248
37,0,3.7,0.460859,2.275248
38,0,3.8000000000000003,0.460859,2.275248
39,0,3.9000000000000004,0.460859,2.275248
40,0,4.0,0.460859,2.275248
41,0,4.1000000000000005,0.460859,2.275248
42,0,4.2,0.460859,2.275248
43,0,4.3,0.460859,2.275248
44,0,4.4,0.460859,2.275248
45,0,4.5,0.460859,2.275248
46,0,4.6000000000000005,0.460859,2.275248
47,0,4.7,0.460859,2.275248
48,0,4.800000000000001,0.460859,2.275248
49,0,4.9,0.460859,2.275248
50,0,5.0,0.460859,2.275248
51,0,5.1000000000000005,0.460859,2.275248
52,0,5.2,0.46085903,2.275248
53,0,5.300000000000001,0.46085906,2.275248
54,0,5.4,0.4608591,2.275248
55,0,5.5,0.46085912,2.275248
56,0,5.6000000000000005,0.46085915,2.275248
57,0,5.7,0.46085918,2.275248
58,0,5.800000000000001,0.4608592,2.275248
59,0,5.9,0.46085924,2.275248
60,0,6.0,0.46085927,2.275248
61,0,6.1000000000000005,0.4608593,2.275248
62,0,6.2,0.46085933,2.275248
63,0,6.300000000000001,0.46085936,2.275248
64,0,6.4,0.4608594,2.275248
65,0,6.5,0.46085942,2.275248
66,0,6.6000000000000005,0.46085945,2.275248
67,0,6.7,0.46085948,2.275248
68,0,6.800000000000001,0.4608595,2.275248
69,0,6.9,0.46085954,2.275248
70,0,7.0,0.46085957,2.275248
71,0,7.1000000000000005,0.46118292,2.2927501
72,0,7.2,0.592,2.695294
73,0,7.300000000000001,0.592,2.695294
74,0,7.4,0.592,2.695294
75,0,7.5,0.58,0.17501909
76,0,7.6000000000000005,0.52403665,0.4025439
77,0,7.7,0.52403605,0.4025439
78,0,7.800000000000001,0.4315167,1.2076317
79,0,7.9,0.4581457,1.8026966
80,0,8.0,0.45742768,1.8201985
81,0,8.1,0.70233333,2.7653017
82,0,8.200000000000001,0.702241,2.7653017
83,0,8.3,0.85666406,3.0453322
84,0,8.4,0.85283786,3.097838
85,0,8.5,0.99,3.3603666
86,0,8.6,1.1071771,3.6228952
87,0,8.700000000000001,1.1092427,3.6228952
88,0,8.8,1.2,3.85042
89,0,8.9,1.27,4.1129484
90,0,9.0,1.27,4.1129484
91,0,9.1,1.298898,4.3579755
92,0,9.200000000000001,1.3483856,4.392979
93,0,9.3,1.4042239,4.3579755
94,0,9.4,1.405845,4.3754773
95,0,9.5,1.4712083,4.3054695
96,0,9.600000000000001,1.4712739,4.3054695
97,0,9.700000000000001,1.5504881,4.252964
98,0,9.8,1.6439999,4.1654544
99,0,9.9,1.6380777,4.182956
100,0,10.0,1.7356324,4.1129484
101,0,10.100000000000001,1.7337636,4.1129484
102,0,10.200000000000001,1.8483399,4.042941
103,0,10.3,1.9588276,4.007937
104,0,10.4,1.9572923,3.9904351
105,0,10.5,2.081887,3.9379294
106,0,10.600000000000001,2.2209635,3.885424
107,0,10.700000000000001,2.2145922,3.9029257
108,0,10.8,2.337492,3.8679218
111,0,11.100000000000001,2.6018736,3.7979143
112,0,11.200000000000001,2.6008902,3.7979143
113,0,11.3,2.7246244,3.7804124
114,0,11.4,2.8629277,3.7454085
115,0,11.5,2.982428,3.7279067
117,0,11.700000000000001,3.1117764,3.7104046
118,0,11.8,3.2540379,3.6929028
121,0,12.100000000000001,3.5152123,3.657899
122,0,12.200000000000001,3.516265,3.657899
124,0,12.4,3.6531093,3.640397
